,Tabla,Columna,Origen,Tipo de Dato
1,Categoria,descripcion,INSERT,
5,Categoria,descripcion,PROCEDURE,text
17,Categoria,descripcion,UPDATE,
6,Categoria,id_categoria,PROCEDURE,int
0,Categoria,nombre,INSERT,
4,Categoria,nombre,PROCEDURE,varchar
16,Categoria,nombre,UPDATE,
74,Cliente,correo,INSERT,
80,Cliente,correo,PROCEDURE,varchar
97,Cliente,correo,UPDATE,
81,Cliente,id_cliente,PROCEDURE,int
86,Cliente,id_cliente,PROCEDURE,INT
72,Cliente,nombre,INSERT,
78,Cliente,nombre,PROCEDURE,varchar
95,Cliente,nombre,UPDATE,
73,Cliente,telefono,INSERT,
79,Cliente,telefono,PROCEDURE,varchar
96,Cliente,telefono,UPDATE,
183,DetalleVenta,cantidad,INSERT,
191,DetalleVenta,cantidad,UPDATE,
182,DetalleVenta,id_producto,INSERT,
190,DetalleVenta,id_producto,UPDATE,
181,DetalleVenta,id_venta,INSERT,
189,DetalleVenta,id_venta,UPDATE,
184,DetalleVenta,precio_unitario,INSERT,
192,DetalleVenta,precio_unitario,UPDATE,
211,Detalleventa,cantidad,PROCEDURE,int
213,Detalleventa,id_detalle,PROCEDURE,int
210,Detalleventa,id_producto,PROCEDURE,int
209,Detalleventa,id_venta,PROCEDURE,int
212,Detalleventa,precio_unitario,PROCEDURE,decimal
197,Pago,id_venta,INSERT,
203,Pago,id_venta,PROCEDURE,int
199,Pago,metodo,INSERT,
205,Pago,metodo,PROCEDURE,varchar
198,Pago,monto,INSERT,
204,Pago,monto,PROCEDURE,decimal
229,Precios,porcentaje,PROCEDURE,DECIMAL
21,Producto,descripcion,INSERT,
33,Producto,descripcion,PROCEDURE,text
61,Producto,descripcion,UPDATE,
24,Producto,estado,INSERT,
36,Producto,estado,PROCEDURE,char
64,Producto,estado,UPDATE,
25,Producto,id_categoria,INSERT,
37,Producto,id_categoria,PROCEDURE,int
65,Producto,id_categoria,UPDATE,
38,Producto,id_producto,PROCEDURE,int
20,Producto,nombre,INSERT,
32,Producto,nombre,PROCEDURE,varchar
60,Producto,nombre,UPDATE,
22,Producto,precio,INSERT,
34,Producto,precio,PROCEDURE,decimal
62,Producto,precio,UPDATE,
23,Producto,stock,INSERT,
35,Producto,stock,PROCEDURE,int
63,Producto,stock,UPDATE,
103,Usuario,clave,INSERT,
111,Usuario,clave,PROCEDURE,varchar
131,Usuario,clave,UPDATE,
104,Usuario,id_rol,INSERT,
112,Usuario,id_rol,PROCEDURE,int
132,Usuario,id_rol,UPDATE,
113,Usuario,id_usuario,PROCEDURE,int
101,Usuario,nombre,INSERT,
109,Usuario,nombre,PROCEDURE,varchar
129,Usuario,nombre,UPDATE,
102,Usuario,usuario,INSERT,
110,Usuario,usuario,PROCEDURE,varchar
130,Usuario,usuario,UPDATE,
139,Venta,estado,INSERT,
149,Venta,estado,PROCEDURE,varchar
173,Venta,estado,UPDATE,
137,Venta,fecha,INSERT,
147,Venta,fecha,PROCEDURE,timestamp
171,Venta,fecha,UPDATE,
140,Venta,id_cliente,INSERT,
150,Venta,id_cliente,PROCEDURE,int
174,Venta,id_cliente,UPDATE,
141,Venta,id_usuario,INSERT,
151,Venta,id_usuario,PROCEDURE,int
175,Venta,id_usuario,UPDATE,
152,Venta,id_venta,PROCEDURE,int
138,Venta,total,INSERT,
148,Venta,total,PROCEDURE,decimal
172,Venta,total,UPDATE,
230,producto,precio,UPDATE,
231,producto,stock,UPDATE,
